method,tasks,samples,macro_task_score,sample_weighted_score,avg_input_tokens,avg_generated_tokens,avg_prefill_latency_sec,avg_decode_latency_sec,avg_total_latency_sec,samples_per_hour,selected_blocks,causal_blocks,global_block_sparsity,selected_token_pairs,causal_token_pairs,global_token_sparsity
FlexPrefill,10,3493,0.26757212744240766,0.38076053716337954,120913.16976810765,81.85542513598625,15.338102305545803,4.853020747400968,20.191123052946768,178.29617453966247,247166655473,1242437401072,0.8010630915813226,4026182501717264,20318983114266256,0.8018511812783375
MInference,10,3493,0.20659553625868235,0.2803642852692972,120913.16976810765,90.51044947036931,17.447833299620992,19.11781325831684,36.565646557937846,98.45306561982547,941057523397,4964691648672,0.8104499554068534,3993771577089422,20318983114266256,0.8034462869214485
AutoBlock,10,3493,0.27648357651372957,0.39039797572476653,120913.16976810765,78.86258230747208,17.893361101248257,4.676094039045017,22.56945514029327,159.50761671569626,323610748778,2655416834656,0.8781318456091197,2601062818999760,20318983114266256,0.8719885338566222
AE3-Compact,10,3493,0.06105262515597841,0.046584183956733534,120913.16976810765,73.07386200973376,16.824052043190733,4.298287517413963,21.122339560604697,170.43566550337846,271830190992,1242437401072,0.78121216348006,2336272306256890,20318983114266256,0.8850202151791465
AE3-Full,10,3493,0.17168545767258642,0.22449806286203342,120913.16976810765,79.76180933295161,51.62233040019773,4.722465869608999,56.344796269806714,63.89232437298063,288637634995,1242437401072,0.7676843640203058,,,
